"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
									"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"
									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25

1	25	04	02	14	58	02	53																																																																																																																																																							
2	25	04	02	15	18	02	53		-15	-7	6	3	-7	6	3	-6	0	-13	7	-3	-49	62										55	28	-58	-54	-57	-56	-56	-66	-65	-53	-67	-66	-60	-83	-56	-129										76	-6	0	4	4	4	3	5	2	4	4	5	2	4	6	3										-22	-5	6	-8	-2	0	9	-1	1	10	-3	-3	1	7	-39											23		60	54	57	56	56	66	65	53	67	67	60	83	74	143										94	29	194.50	187.40	174.00	176.90	187.10	174.80	177.40	186.50	180.00	191.10	173.30	182.10	221.20	154.30										35.90	102.10
3	25	04	02	15	38	02	53		-4	3	-1	-3	6	-8	3	1	10	-2	-33	0	13											-22		-65	-68	-78	-87	-93	-92	-84	-98	-97	-94	-103	-81	-152											18		0	-1	1	0	0	0	4	2	1	3	9	5	-3											2		3	-3	-4	-3	-7	4	-3	6	5	13	23	17	-8													65	68	78	87	93	92	84	98	98	94	108	81	153											28		183.50	177.50	180.70	182.00	176.30	185.00	178.00	179.40	174.10	181.20	197.80	180.00	175.10											309.30	
4	25	04	02	15	58	02	53		-11	-11	-5	-9	-9	-3	-11	-15	5	-22	-20	-9												-32	30	-65	-61	-80	-74	-76	-85	-84	-95	-88	-107	-86	-71												43	-5	1	1	-1	2	1	2	1	1	2	1	6	5												6	18	0	-8	-5	-1	9	9	6	3	3	-1	26	-5														66	62	80	75	77	85	85	96	88	109	88	72												54	30	189.60	190.20	183.60	186.90	186.80	182.00	187.50	189.00	176.70	191.60	193.10	187.20												323.30	99.50
5	25	04	02	16	18	02	53		-13	-24	-10	-21	-9	-13	-14	-9	-24	-23	-11	-42	-77										-49	-6	-40	-71	-75	-81	-75	-76	-88	-103	-89	-100	-96	-80	-110	-105										6	72	66	1	1	1	2	1	3	1	4	3	2	1	-3	16										-8	15	27	1	7	3	2	7	-5	-5	4	-1	-4	-3	34														72	79	82	78	77	89	104	89	103	99	81	118	130										49	72	77	190.40	197.70	187.00	195.60	186.80	188.40	187.70	185.80	193.50	193.50	187.80	200.90	216.30										277.00	355.20	328.80
6	25	04	02	16	38	02	53		-10	-14	-22	-12	-3	-9	-12	-1	-7	-12	-5	-2											-34	-14	116	-84	-87	-83	-85	-87	-92	-97	-102	-101	-96	-78	-80											17	39	-18	3	2	3	2	1	2	2	3	2	3	2	-11											-14	4	5	6	7	-6	-2	-4	0	4	8	7	4	23															85	88	86	86	87	92	98	102	101	97	78	80											38	41	117	186.80	189.10	194.80	188.00	182.00	185.60	187.10	180.60	184.00	187.10	183.70	181.40											296.60	340.30	98.80
7	25	04	02	16	58	02	53		-12	-2	-15	-14	-16	-18	-11	-13	-24	-20	-7	-11	7										-14	-25	-30	-80	-82	-79	-83	-83	-77	-96	-85	-88	-90	-92	-114	-159										57	65	34	0	1	4	3	2	3	2	4	3	2	4	-1	4										-21	12	9	-2	2	1	1	-3	-3	-6	8	10	7	0	-16														81	82	80	84	85	79	97	86	91	92	92	115	159										59	70	45	188.50	181.40	190.80	189.60	190.90	193.20	186.50	188.70	195.30	192.50	184.40	185.50	177.50										346.20	339.00	318.60
