Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;02.04.2025 09:00:00;15,31;-0,50;0,01;0,01;1466,27
2;02.04.2025 09:20:00;13,77;-0,50;0,01;0,01;1460,78
3;02.04.2025 09:40:00;13,21;-0,50;0,01;0,00;1458,72
4;02.04.2025 10:00:00;11,88;-0,50;0,01;0,01;1453,77
5;02.04.2025 10:20:00;11,59;-0,68;0,01;0,00;1452,67
6;02.04.2025 10:40:00;-0,56;-0,32;0,13;0,14;1399,44
7;02.04.2025 11:00:00;-9,87;-1,75;0,35;0,27;1348,30
8;02.04.2025 11:20:00;-11,09;-2,11;0,40;0,30;1340,89
9;02.04.2025 11:40:00;-2,46;20,85;22,22;17,79;1420,23
10;02.04.2025 12:00:00;-2,16;20,76;24,06;19,32;1424,23
11;02.04.2025 12:20:00;-2,03;20,80;22,08;17,92;1422,17
12;02.04.2025 12:40:00;-1,94;20,82;22,12;18,00;1422,65
13;02.04.2025 13:00:00;-1,90;20,84;23,25;18,87;1424,40
14;02.04.2025 13:20:00;-1,90;20,84;24,87;20,08;1426,61
15;02.04.2025 13:40:00;-1,86;20,67;27,21;21,83;1429,99
16;02.04.2025 14:00:00;-1,86;20,85;33,16;26,15;1438,08
17;02.04.2025 14:20:00;-1,86;20,85;34,46;27,07;1439,84
18;02.04.2025 14:40:00;-1,86;20,67;34,49;27,10;1439,89
19;02.04.2025 15:00:00;-1,82;20,68;34,44;27,10;1440,02
20;02.04.2025 15:20:00;-1,82;20,86;34,48;27,13;1440,08
21;02.04.2025 15:40:00;-1,82;20,68;34,44;27,10;1440,02
22;02.04.2025 16:00:00;-1,82;20,86;34,48;27,13;1440,08
23;02.04.2025 16:20:00;-1,82;20,68;34,48;27,13;1440,07
24;02.04.2025 16:40:00;-1,82;20,68;34,48;27,13;1440,07
25;02.04.2025 17:00:00;-1,82;20,68;34,48;27,13;1440,07
26;02.04.2025 17:20:00;-1,77;20,70;34,47;27,15;1440,26
27;02.04.2025 17:40:00;-1,77;20,70;34,47;27,15;1440,26
28;02.04.2025 18:00:00;-1,77;20,70;34,47;27,15;1440,26
29;02.04.2025 18:20:00;-1,77;20,70;34,47;27,15;1440,26
30;02.04.2025 18:40:00;-1,77;20,70;34,47;27,15;1440,26
31;02.04.2025 19:00:00;-1,77;20,52;34,47;27,15;1440,26
32;02.04.2025 19:20:00;-1,77;20,70;34,47;27,15;1440,26
33;02.04.2025 19:40:00;-1,77;20,70;34,47;27,15;1440,26
34;02.04.2025 20:00:00;-1,77;20,70;34,50;27,18;1440,31
35;02.04.2025 20:20:00;-1,77;20,70;34,50;27,18;1440,31
36;02.04.2025 20:40:00;-1,77;20,88;34,50;27,18;1440,31
37;02.04.2025 21:00:00;-1,77;20,70;34,50;27,18;1440,31
38;02.04.2025 21:20:00;-1,77;20,70;34,50;27,18;1440,31
39;02.04.2025 21:40:00;-1,77;20,88;34,47;27,15;1440,26
