"Temperature [ITS-90 deg C]","Conductivity [S/m]","Time [Elapsed seconds]","Pressure [Strain Gauge db]","Density [TEOS-10 kg/m^3]","Temperature [Potential, ITS-90 deg C]","Practical Salinity [PSU]",flag
16.41799708,0.000009275,0,0,2.463402422,16.41799708,-9.99e-29,0
15.24637842,1.463958867,1200,0,2.463402422,15.24637842,-9.99e-29,0
15.24057051,-0.00000280,2400,0,2.463402422,15.24057051,-9.99e-29,0
14.51457730,-3.75034341,3600,0,2.463402422,14.51457730,-9.99e-29,0
12.92935690,-4.35867330,4800,0,2.463402422,12.92935690,-9.99e-29,0
6.791269569,-0.00000492,6000,0,2.463402422,6.791269569,-9.99e-29,0
-10.8902043,-0.00002703,7200,0,2.463402422,-10.8902043,-9.99e-29,0
-11.4857043,-0.00004191,8400,0,2.463402422,-11.4857043,-9.99e-29,0
-12.0896812,-0.00004795,9600,0,2.463402422,-12.0896812,-9.99e-29,0
-1.90181056,2.119114701,10800,0,1021.191081,-1.90181056,26.38943455,0
-1.86032631,2.601471999,12000,0,1026.551885,-1.86032631,32.98974710,0
-1.82405192,2.693276361,13200,0,1027.559162,-1.82405192,34.23080257,0
-1.77975799,2.724035116,14400,0,1027.865717,-1.77975799,34.60971923,0
-1.76860234,2.724623532,15600,0,1027.861491,-1.76860234,34.60490993,0
-1.77503909,2.724309327,16800,0,1027.864217,-1.77503909,34.60803882,0
-1.77886710,2.724132237,18000,0,1027.865949,-1.77886710,34.61003668,0
-1.77520410,2.724417888,19200,0,1027.865612,-1.77520410,34.60975090,0
-1.77965900,2.724160811,20400,0,1027.867049,-1.77965900,34.61136262,0
-1.78045088,2.724103683,21600,0,1027.867174,-1.78045088,34.61148913,0
-1.77969200,2.724120817,22800,0,1027.866627,-1.77969200,34.61084148,0
-1.77956002,2.724126529,24000,0,1027.866562,-1.77956002,34.61076708,0
-1.77767918,2.724183649,25200,0,1027.865371,-1.77767918,34.60936709,0
-1.77695319,2.724240779,26400,0,1027.865310,-1.77695319,34.60931767,0
-1.78457468,2.723469549,27600,0,1027.864000,-1.78457468,34.60743599,0
-1.78444273,2.723560956,28800,0,1027.864910,-1.78444273,34.60856113,0
-1.78536635,2.723452417,30000,0,1027.864580,-1.78536635,34.60812197,0
-1.76959275,2.724674964,31200,0,1027.863044,-1.76959275,34.60678732,0
-1.76493737,2.725040626,32400,0,1027.862644,-1.76493737,34.60646074,0
-1.75159223,2.726046285,33600,0,1027.861014,-1.75159223,34.60492847,0
-1.76113958,2.725286310,34800,0,1027.861721,-1.76113958,34.60545820,0
-1.75763834,2.725572006,36000,0,1027.861541,-1.75763834,34.60536188,0
-1.75476420,2.725812001,37200,0,1027.861456,-1.75476420,34.60535918,0
-1.75377301,2.726103452,38400,0,1027.863796,-1.75377301,34.60827659,0
-1.75479723,2.725863434,39600,0,1027.862072,-1.75479723,34.60611708,0
-1.75876145,2.725514870,40800,0,1027.861991,-1.75876145,34.60587543,0
-1.75036955,2.726103425,42000,0,1027.860467,-1.75036955,34.60429865,0
-1.76239458,2.725229176,43200,0,1027.862299,-1.76239458,34.60612596,0
-1.77837214,2.724006538,44400,0,1027.864036,-1.77837214,34.60769877,0
-1.77520410,2.724229338,45600,0,1027.863469,-1.77520410,34.60711245,0
-1.77741518,2.724092232,46800,0,1027.864074,-1.77741518,34.60777907,0
-1.77408197,2.724349315,48000,0,1027.863735,-1.77408197,34.60747931,0
-1.77269570,2.724492146,49200,0,1027.864002,-1.77269570,34.60785711,0
-1.76939467,2.724697818,50400,0,1027.863110,-1.76939467,34.60687551,0
-1.74349469,2.726869222,51600,0,1027.862438,-1.74349469,34.60697207,0
-1.75786957,2.725680586,52800,0,1027.863001,-1.75786957,34.60715076,0
-1.74296575,2.727006394,54000,0,1027.863478,-1.74296575,34.60827166,0
-1.74967557,2.726423467,55200,0,1027.863422,-1.74967557,34.60796275,0
-1.74091598,2.727132124,56400,0,1027.862900,-1.74091598,34.60763411,0
-1.74382527,2.727017832,57600,0,1027.864449,-1.74382527,34.60943600,0
-1.74346163,2.726977819,58800,0,1027.863639,-1.74346163,34.60845166,0
-1.77140837,2.724583557,60000,0,1027.863781,-1.77140837,34.60763104,0
-1.77091322,2.724640691,61200,0,1027.863946,-1.77091322,34.60785156,0
-1.77441201,2.724377886,62400,0,1027.864382,-1.77441201,34.60826499,0
-1.77569914,2.724275051,63600,0,1027.864473,-1.77569914,34.60833094,0
-1.76080930,2.725720612,64800,0,1027.866331,-1.76080930,34.61114694,0
-1.77008793,2.724983525,66000,0,1027.867035,-1.77008793,34.61168341,0
-1.77147439,2.724954965,67200,0,1027.868067,-1.77147439,34.61290496,0
-1.77527011,2.724686437,68400,0,1027.868729,-1.77527011,34.61358605,0
-1.78048387,2.724126537,69600,0,1027.867466,-1.78048387,34.61184757,0
-1.77946103,2.724217945,70800,0,1027.867505,-1.77946103,34.61193071,0
-1.78813693,2.723458152,72000,0,1027.867356,-1.78813693,34.61144250,0
-1.79314933,2.722978319,73200,0,1027.866805,-1.79314933,34.61058764,0
-1.78262836,2.723829459,74400,0,1027.866188,-1.78262836,34.61019752,0
-1.79295149,2.722944042,75600,0,1027.866221,-1.79295149,34.60987634,0
-1.78018692,2.723966559,76800,0,1027.865357,-1.78018692,34.60926133,0
-1.78549829,2.723532399,78000,0,1027.865618,-1.78549829,34.60939584,0
-1.78167161,2.723852305,79200,0,1027.865511,-1.78167161,34.60939843,0
-1.79601767,2.722687006,80400,0,1027.866298,-1.79601767,34.60986394,0
-1.79822633,2.722538504,81600,0,1027.866770,-1.79822633,34.61036812,0
-1.79624844,2.722692720,82800,0,1027.866589,-1.79624844,34.61021389,0
-1.80122575,2.722298618,84000,0,1027.866977,-1.80122575,34.61051762,0
-1.79792966,2.722641322,85200,0,1027.867650,-1.79792966,34.61146084,0
-1.75119569,2.726532070,86400,0,1027.866143,-1.75119569,34.61125803,0
-1.75806777,2.725966327,87600,0,1027.866440,-1.75806777,34.61137890,0
-1.76946070,2.724783528,88800,0,1027.864148,-1.76946070,34.60815186,0
-1.76728171,2.725000645,90000,0,1027.864484,-1.76728171,34.60864201,0
-1.78440974,2.723623800,91200,0,1027.865592,-1.78440974,34.60940218,0
-1.77342185,2.724572145,92400,0,1027.865621,-1.77342185,34.60982551,0
-1.78582814,2.723269608,93600,0,1027.862953,-1.78582814,34.60610312,0
-1.80096208,2.722264343,94800,0,1027.866329,-1.80096208,34.60972919,0
-1.80396106,2.721995907,96000,0,1027.866210,-1.80396106,34.60947817,0
-1.80623470,2.721910248,97200,0,1027.867461,-1.80623470,34.61093842,0
-1.80847512,2.721750339,98400,0,1027.867834,-1.80847512,34.61131989,0
-1.80850806,2.721761762,99600,0,1027.867996,-1.80850806,34.61151845,0
-1.80847512,2.721767474,100800,0,1027.868029,-1.80847512,34.61155991,0
-1.80860690,2.721738917,102000,0,1027.867833,-1.80860690,34.61131409,0
-1.81101175,2.721561878,103200,0,1027.868172,-1.81101175,34.61164798,0
-1.80949640,2.721698942,104400,0,1027.868248,-1.80949640,34.61179491,0
-1.80844217,2.721773185,105600,0,1027.868061,-1.80844217,34.61160136,0
-1.81051762,2.721561874,106800,0,1027.867688,-1.81051762,34.61106976,0
-1.80837628,2.721756050,108000,0,1027.867802,-1.80837628,34.61128425,0
-1.80831039,2.721767472,109200,0,1027.867867,-1.80831039,34.61136715,0
-1.80847512,2.721773185,110400,0,1027.868094,-1.80847512,34.61163991,0
-1.80999055,2.721653254,111600,0,1027.868212,-1.80999055,34.61173310,0
-1.81035291,2.721613276,112800,0,1027.868112,-1.81035291,34.61159709,0
-1.80778325,2.722035920,114000,0,1027.870406,-1.80778325,34.61451055,0
-1.83076609,2.720408406,115200,0,1027.874378,-1.83076609,34.61860568,0
-1.82931813,2.720756748,116400,0,1027.876927,-1.82931813,34.62179302,0
-1.83000922,2.720745332,117600,0,1027.877474,-1.83000922,34.62244215,0
-1.83382618,2.720294220,118800,0,1027.876074,-1.83382618,34.62058783,0
-1.83441839,2.720334198,120000,0,1027.877109,-1.83441839,34.62184169,0
-1.83441839,2.720374172,121200,0,1027.877564,-1.83441839,34.62240206,0
-1.83251007,2.720659690,122400,0,1027.878947,-1.83251007,34.62416995,0
-1.83172036,2.720768189,123600,0,1027.879410,-1.83172036,34.62476614,0
-1.83254297,2.720676822,124800,0,1027.879175,-1.83254297,34.62444864,0
-1.83428679,2.720334197,126000,0,1027.876980,-1.83428679,34.62168758,0
-1.81522773,2.721619026,127200,0,1027.872949,-1.81522773,34.61738227,0
-1.80023698,2.722687039,128400,0,1027.870428,-1.80023698,34.61480036,0
-1.80396106,2.722264367,129600,0,1027.869264,-1.80396106,34.61323805,0
-1.80438945,2.722287219,130800,0,1027.869943,-1.80438945,34.61405932,0
-1.80560865,2.722110157,132000,0,1027.869122,-1.80560865,34.61300592,0
-1.80663009,2.722058758,133200,0,1027.869537,-1.80663009,34.61348113,0
-1.80732199,2.722053052,134400,0,1027.870149,-1.80732199,34.61421079,0
-1.80913402,2.721927406,135600,0,1027.870493,-1.80913402,34.61457113,0
-1.80455421,2.722287220,136800,0,1027.870105,-1.80455421,34.61425212,0
-1.80643239,2.722287235,138000,0,1027.871943,-1.80643239,34.61645000,0
-1.80580635,2.722361487,139200,0,1027.872175,-1.80580635,34.61675744,0
-1.80840923,2.722081620,140400,0,1027.871539,-1.80840923,34.61588317,0
-1.81829032,2.721224966,141600,0,1027.871462,-1.81829032,34.61544549,0
-1.81753295,2.721344896,142800,0,1027.872085,-1.81753295,34.61623948,0
-1.79638031,2.723263979,144000,0,1027.873215,-1.79638031,34.61836715,0
-1.79865485,2.723458235,145200,0,1027.877651,-1.79865485,34.62374887,0
-1.79140173,2.723869521,146400,0,1027.875229,-1.79140173,34.62102078,0
-1.77497308,2.725154990,147600,0,1027.873764,-1.77497308,34.61979550,0
-1.79496270,2.723755285,148800,0,1027.877416,-1.79496270,34.62358792,0
-1.80254402,2.723018381,150000,0,1027.876455,-1.80254402,34.62214022,0
-1.80402697,2.722938417,151200,0,1027.876997,-1.80402697,34.62275576,0
-1.80481783,2.722812748,152400,0,1027.876342,-1.80481783,34.62192117,0
-1.81328454,2.722110218,153600,0,1027.876637,-1.81328454,34.62198954,0
-1.80916696,2.722435771,154800,0,1027.876310,-1.80916696,34.62173080,0
-1.81908058,2.721630479,156000,0,1027.876851,-1.81908058,34.62205249,0
-1.80307130,2.722955547,157200,0,1027.876257,-1.80307130,34.62187726,0
-1.80092912,2.723092633,158400,0,1027.875719,-1.80092912,34.62129030,0
-1.79341310,2.723783839,159600,0,1027.876224,-1.79341310,34.62217451,0
-1.78516843,2.724435108,160800,0,1027.875559,-1.78516843,34.62164606,0
-1.79397361,2.723783843,162000,0,1027.876772,-1.79397361,34.62283042,0
-1.80201672,2.723235460,163200,0,1027.878409,-1.80201672,34.62456337,0
-1.79730334,2.723503928,164400,0,1027.876848,-1.79730334,34.62280718,0
-1.79384173,2.723852401,165600,0,1027.877423,-1.79384173,34.62363604,0
-1.79634734,2.723778149,166800,0,1027.879031,-1.79634734,34.62552840,0
-1.78513545,2.724503672,168000,0,1027.876306,-1.78513545,34.62256725,0
-1.77731619,2.725143580,169200,0,1027.875927,-1.77731619,34.62237652,0
-1.78906036,2.724298011,170400,0,1027.877810,-1.78906036,34.62428030,0
-1.78081381,2.724909327,171600,0,1027.876688,-1.78081381,34.62318950,0
-1.77639218,2.725235001,172800,0,1027.876062,-1.77639218,34.62257509,0
-1.77279472,2.725503551,174000,0,1027.875593,-1.77279472,34.62212521,0
-1.77474206,2.725366419,175200,0,1027.875941,-1.77474206,34.62248400,0
-1.77998895,2.725006460,176400,0,1027.876985,-1.77998895,34.62358405,0
-1.78018692,2.724989319,177600,0,1027.876984,-1.78018692,34.62357574,0
-1.77893309,2.725115021,178800,0,1027.877185,-1.77893309,34.62386828,0
-1.77906508,2.725080737,180000,0,1027.876925,-1.77906508,34.62354284,0
-1.78025291,2.724972177,181200,0,1027.876853,-1.78025291,34.62341301,0
-1.77866912,2.725069306,182400,0,1027.876407,-1.77866912,34.62291965,0
-1.78289228,2.724795062,183600,0,1027.877423,-1.78289228,34.62402173,0
-1.78394792,2.724737931,184800,0,1027.877807,-1.78394792,34.62445707,0
-1.78381597,2.724743644,186000,0,1027.877743,-1.78381597,34.62438266,0
-1.78434377,2.724703651,187200,0,1027.877805,-1.78434377,34.62444035,0
-1.78444273,2.724720793,188400,0,1027.878097,-1.78444273,34.62479609,0
-1.78470663,2.724760793,189600,0,1027.878810,-1.78470663,34.62566477,0
-1.78421182,2.724812215,190800,0,1027.878910,-1.78421182,34.62580565,0
-1.78536635,2.724812224,192000,0,1027.880040,-1.78536635,34.62715663,0
-1.78497052,2.724817935,193200,0,1027.879718,-1.78497052,34.62677342,0
-1.78675169,2.724715097,194400,0,1027.880292,-1.78675169,34.62741796,0
-1.78589411,2.724772230,195600,0,1027.880102,-1.78589411,34.62721430,0
-1.78549829,2.724772227,196800,0,1027.879715,-1.78549829,34.62675111,0
-1.78572918,2.724766515,198000,0,1027.879876,-1.78572918,34.62694132,0
