"Temperature [ITS-90 deg C]","Conductivity [S/m]","Time [Elapsed seconds]","Pressure [Strain Gauge db]","Density [TEOS-10 kg/m^3]","Temperature [Potential, ITS-90 deg C]","Practical Salinity [PSU]",flag
15.53078376,-0.00003776,0,0,2.463402422,15.53078376,-9.99e-29,0
15.39942586,-0.00003779,1200,0,2.463402422,15.39942586,-9.99e-29,0
14.63267003,-0.00003797,2400,0,2.463402422,14.63267003,-9.99e-29,0
13.04284196,-0.00003835,3600,0,2.463402422,13.04284196,-9.99e-29,0
6.273655085,-0.00004548,4800,0,2.463402422,6.273655085,-9.99e-29,0
-11.4601464,-0.00000265,6000,0,2.463402422,-11.4601464,-9.99e-29,0
-11.9369962,0.000041479,7200,0,997.5207657,-11.9369962,0.000001865,0
-11.6817869,0.000055367,8400,0,997.6075319,-11.6817869,0.000111444,0
-1.92651331,2.040741636,9600,0,1020.344675,-1.92651331,25.34747913,0
-1.84317061,1.712621480,10800,0,1016.722269,-1.84317061,20.88624895,0
-1.78282992,2.140407181,12000,0,1021.339128,-1.78282992,26.57188906,0
-1.77623717,2.699671899,13200,0,1027.585552,-1.77623717,34.26489312,0
-1.77089193,2.706790798,14400,0,1027.661183,-1.77089193,34.35819724,0
-1.77623717,2.714923023,15600,0,1027.758733,-1.77623717,34.47812188,0
-1.76485072,2.718301509,16800,0,1027.786008,-1.76485072,34.51210281,0
-1.76717716,2.719704817,18000,0,1027.804217,-1.76717716,34.53444116,0
-1.76252401,2.718467515,19200,0,1027.785624,-1.76252401,34.51171183,0
-1.73639006,2.714965531,20400,0,1027.720424,-1.73639006,34.43234771,0
-1.73228605,2.714965499,21600,0,1027.716432,-1.73228605,34.42757698,0
-1.72671990,2.713514903,22800,0,1027.694572,-1.72671990,34.40085424,0
-1.73329474,2.714895917,24000,0,1027.716624,-1.73329474,34.42777751,0
-1.73239040,2.715013678,25200,0,1027.717080,-1.73239040,34.42837113,0
-1.73896331,2.714895962,26400,0,1027.722138,-1.73896331,34.43436740,0
-1.74880113,2.711444123,27600,0,1027.692541,-1.74880113,34.39757659,0
-1.74525592,2.714681892,28800,0,1027.725831,-1.74525592,34.43869331,0
-1.74355260,2.713145753,30000,0,1027.706746,-1.74355260,34.41525182,0
-1.73958919,2.711197928,31200,0,1027.680799,-1.73958919,34.38344046,0
-1.74383070,2.708988592,32400,0,1027.659858,-1.74383070,34.35750503,0
-1.73346865,2.711122975,33600,0,1027.674006,-1.73346865,34.37528974,0
-1.73037287,2.716223575,34800,0,1027.728839,-1.73037287,34.44292341,0
-1.72658073,2.715961201,36000,0,1027.722174,-1.72658073,34.43485087,0
-1.73461640,2.715490142,37200,0,1027.724649,-1.73461640,34.43761342,0
-1.72832033,2.715725650,38400,0,1027.721195,-1.72832033,34.43358354,0
-1.72442340,2.715586424,39600,0,1027.715827,-1.72442340,34.42711044,0
-1.71941191,2.716683949,40800,0,1027.723396,-1.71941191,34.43661003,0
-1.71979478,2.716014686,42000,0,1027.716181,-1.71979478,34.42771130,0
-1.72477137,2.716368090,43200,0,1027.725028,-1.72477137,34.43842944,0
-1.71509542,2.718129738,44400,0,1027.735586,-1.71509542,34.45177661,0
-1.71659237,2.716459046,45600,0,1027.718104,-1.71659237,34.43019362,0
-1.71732340,2.716614326,46800,0,1027.720575,-1.71732340,34.43321082,0
-1.70973327,2.718097563,48000,0,1027.730004,-1.70973327,34.44509390,0
-1.71648794,2.717706682,49200,0,1027.732145,-1.71648794,34.44748953,0
-1.72522373,2.714665674,50400,0,1027.706165,-1.72522373,34.41518415,0
-1.73228605,2.715388407,51600,0,1027.721228,-1.73228605,34.43348343,0
-1.75714024,2.714205593,52800,0,1027.731990,-1.75714024,34.44585998,0
-1.76356585,2.713525899,54000,0,1027.730527,-1.76356585,34.44383433,0
-1.77283582,2.713349357,55200,0,1027.737545,-1.77283582,34.45215299,0
-1.76985047,2.713012168,56400,0,1027.730810,-1.76985047,34.44396388,0
-1.76516324,2.713691828,57600,0,1027.733966,-1.76516324,34.44801263,0
-1.77346060,2.713226268,58800,0,1027.736756,-1.77346060,34.45115887,0
-1.77450186,2.714259256,60000,0,1027.749503,-1.77450186,34.46681730,0
-1.74104949,2.715500900,61200,0,1027.731030,-1.74104949,34.44524414,0
-1.75265841,2.712380559,62400,0,1027.706916,-1.75265841,34.41514272,0
-1.76255874,2.713322515,63600,0,1027.727238,-1.76255874,34.43981950,0
-1.76776740,2.715147789,64800,0,1027.753035,-1.76776740,34.47140097,0
-1.76026648,2.714719482,66000,0,1027.740867,-1.76026648,34.45668084,0
-1.77776411,2.713600941,67200,0,1027.745202,-1.77776411,34.46140852,0
-1.78106051,2.711278513,68400,0,1027.722028,-1.78106051,34.43276237,0
-1.78789440,2.712188197,69600,0,1027.739015,-1.78789440,34.45344087,0
-1.78446041,2.710936121,70800,0,1027.721446,-1.78446041,34.43192883,0
-1.79167455,2.711134137,72000,0,1027.730717,-1.79167455,34.44309420,0
-1.79770740,2.712782270,73200,0,1027.755325,-1.79770740,34.47318274,0
-1.78969787,2.714355724,74400,0,1027.765405,-1.78969787,34.48586873,0
-1.79309626,2.712295261,75600,0,1027.745297,-1.79309626,34.46099607,0
-1.78942042,2.713643851,76800,0,1027.757044,-1.78942042,34.47558456,0
-1.78335030,2.709390073,78000,0,1027.702803,-1.78335030,34.40901323,0
-1.77786822,2.713574182,79200,0,1027.744999,-1.77786822,34.46115545,0
-1.76950331,2.712000765,80400,0,1027.718987,-1.76950331,34.42941862,0
-1.76175995,2.714890790,81600,0,1027.744266,-1.76175995,34.46081386,0
-1.76061381,2.716507584,82800,0,1027.761506,-1.76061381,34.48208270,0
-1.75606331,2.713734573,84000,0,1027.725595,-1.75606331,34.43802391,0
-1.76054434,2.713370667,85200,0,1027.725824,-1.76054434,34.43814943,0
-1.76314912,2.714730210,86400,0,1027.743795,-1.76314912,34.46018586,0
-1.76804516,2.715270917,87600,0,1027.754704,-1.76804516,34.47344612,0
-1.76328803,2.715142400,88800,0,1027.748611,-1.76328803,34.46611027,0
-1.74501260,2.716320064,90000,0,1027.744182,-1.74501260,34.46129975,0
-1.74935718,2.716063106,91200,0,1027.745496,-1.74935718,34.46276478,0
-1.74977421,2.716025632,92400,0,1027.745477,-1.74977421,34.46272640,0
-1.75283215,2.716769885,93600,0,1027.756903,-1.75283215,34.47668777,0
-1.76519797,2.716052524,94800,0,1027.760806,-1.76519797,34.48105935,0
-1.76842706,2.716020426,96000,0,1027.763588,-1.76842706,34.48437178,0
-1.76731604,2.715228085,97200,0,1027.753507,-1.76731604,34.47199815,0
-1.78106051,2.715319201,98400,0,1027.767935,-1.78106051,34.48928327,0
-1.78546639,2.714971274,99600,0,1027.768276,-1.78546639,34.48955015,0
-1.78969787,2.713873999,100800,0,1027.759930,-1.78969787,34.47912812,0
-1.78733945,2.715362078,102000,0,1027.774543,-1.78733945,34.49720141,0
-1.72233544,2.720132999,103200,0,1027.765348,-1.72233544,34.48817057,0
-1.74873162,2.719560044,104400,0,1027.784578,-1.74873162,34.51090997,0
-1.79219470,2.717096826,105600,0,1027.798998,-1.79219470,34.52714049,0
-1.79077293,2.716887985,106800,0,1027.795236,-1.79077293,34.52255879,0
-1.79115439,2.716625622,108000,0,1027.792626,-1.79115439,34.51933196,0
-1.79378973,2.715870721,109200,0,1027.786615,-1.79378973,34.51184070,0
-1.78470324,2.714237927,110400,0,1027.759198,-1.78470324,34.47840077,0
