Seaguard RCM SW
Product number:	4430
Serial number:	1711

		System Parameters(0)				Doppler Current Sensor #726(726)															Conductivity #1330(1330)		Temperature #856(856)		Pressure #1140(1140)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)	Conductivity(mS/cm)	Temperature(Deg.C)	Temperature(Deg.C)	Rawdata Temperature	Pressure(kPa)	Temperature(DegC)
0	02.04.25 09:20:00	7.189	8941568	1199994	0.000	117.910	308.811	73.901	-91.877	57.903	80.082	10.805	3393.733	-64.187	6	89.617	90.000	1.657	-63.119	-65.255	-0.007	17.352	16.711	9478815	100.222	17.184
1	02.04.25 09:40:00	7.183	8945664	1199993	0.000	2072.156	246.663	-820.863	-1902.634	51.651	79.869	10.908	1322.554	-69.030	13	88.916	90.000	2.885	-67.212	-70.848	-0.006	16.328	16.204	9563141	100.217	16.204
2	02.04.25 10:00:00	7.166	8949760	1199994	0.000	1516.225	244.863	-644.074	-1372.627	44.406	79.860	10.912	1313.833	-68.604	24	88.014	90.000	3.651	-66.390	-70.819	-0.006	14.941	14.686	9815752	100.291	14.769
3	02.04.25 10:20:00	7.166	8949760	1199994	0.000	3955.118	276.077	418.692	-3932.894	279.124	64.455	25.958	679.790	-70.846	4	89.811	90.000	1.000	-70.680	-71.013	-0.007	10.069	4.789	11431788	100.666	7.183
4	02.04.25 10:40:00	7.117	8953856	1199994	0.000	574.230	24.769	521.403	240.581	207.904	18.382	72.491	1702.567	-71.389	8	89.614	90.000	1.633	-71.076	-71.703	-0.057	-5.600	-9.480	13482357	99.893	-8.232
5	02.04.25 11:00:00	7.069	8953856	1199994	0.000	1415.212	61.351	678.505	1241.956	244.091	38.529	52.336	716.050	-72.061	2	89.854	90.000	1.271	-71.548	-72.575	-0.064	-9.269	-10.793	13647783	99.549	-10.487
6	02.04.25 11:20:00	7.009	8953856	1199994	0.000	0.000	0.000	0.000	0.000	283.708	35.157	55.572	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000	-0.062	-10.540	-11.707	13760590	99.477	-11.135
7	02.04.25 11:40:00	6.997	8953856	1199994	0.000	2.247	15.253	2.168	0.591	74.664	1.430	2.109	4.346	-41.171	100	2.548	2.662	0.047	-40.806	-41.536	23.501	-2.189	-1.797	12432673	200.772	-1.841
8	02.04.25 12:00:00	7.003	8953856	1199993	0.000	2.434	357.259	2.431	-0.116	81.005	1.408	2.150	4.397	-39.848	100	2.570	2.678	0.041	-39.592	-40.103	26.504	-1.857	-1.760	12427281	200.766	-1.755
